province,year,avg_wait_time,procedures_with_wait_times,total_volume,procedures_with_volume,low_procedure_coverage,benchmark_pct,hospitals,other_institutions,physicians,other_professionals,drugs,public_health,administration,other_hcc,other_net,covid19,subtotal,capital,total_spending_per_capita,physicians_per_10k_population,physician_data_source,population_estimate,population_growth_rate,land_area_km2,average_age,median_age,percent_65_plus,rural_percent_estimate,urban_percent_estimate,population_density_per_km2,raw_efficiency,geographic_challenge,efficiency_gap,hospitals_efficiency,physicians_efficiency,drugs_efficiency,admin_efficiency,other_professionals_efficiency,public_health_efficiency,admin_overhead_pct,clinical_focus_pct,covid_period
Manitoba,2022,49.5,9.0,86965.0,9.0,False,60.0,2349.25,1117.97,1106.14,682.7,968.8,779.26,341.75,,933.15,174.6,8453.6,318.02,8771.62,15.6,estimated,1413498,1.55,540310.19,39.7,38.4,17.1,60,40,2.62,177.20444444444445,0.7773184533196122,484.3080555555556,47.45959595959596,22.34626262626263,19.57171717171717,6.904040404040404,13.791919191919193,15.742626262626262,3.896087609814378,39.39283735501538,False
Manitoba,2023,71.6,9.0,55743.0,9.0,False,70.8,2255.63,1199.02,1105.39,719.47,1033.99,794.62,374.65,,1017.59,,8500.35,299.19,8799.54,15.7,estimated,1453202,2.81,540310.19,39.7,38.4,17.1,60,40,2.69,122.89860335195533,0.7659158512241475,538.6138966480447,31.5032122905028,15.438407821229053,14.441201117318437,5.232541899441341,10.04846368715084,11.098044692737432,4.257608920466296,38.1954056689327,False
Manitoba,2024,84.7,9.0,46235.0,9.0,False,66.2,2357.38,1242.76,1277.89,757.74,1072.36,809.64,387.66,,1078.67,,8984.11,288.78,9272.89,15.9,estimated,1492144,2.68,540310.19,39.7,38.4,17.1,60,40,2.76,109.47922077922077,0.7550480868695535,552.0332792207793,27.832113341204252,15.087249114521843,12.660684769775678,4.576859504132232,8.94616292798111,9.558913813459268,4.1805736938538045,39.203204179063924,False
New Brunswick,2008,70.2,4.0,5512.0,4.0,True,76.8,1872.11,568.02,660.77,456.81,898.17,179.43,178.02,,352.97,,5166.3,177.22,5343.52,19.5,estimated,746875,,71248.5,44.7,46.8,22.8,30,70,10.48,76.11851851851853,0.409734238069726,585.3939814814815,26.668233618233614,9.412678062678062,12.794444444444443,2.5358974358974358,6.507264957264957,2.555982905982906,3.331511812438243,47.40096415845734,False
New Brunswick,2009,55.4,4.0,5742.0,4.0,True,82.5,1980.27,614.22,727.24,503.93,975.97,202.42,193.36,,355.49,,5552.9,184.78,5737.69,19.9,estimated,749956,0.41,71248.5,44.7,46.8,22.8,30,70,10.53,103.56841155234656,0.40900592865508295,557.9440884476535,35.74494584837545,13.127075812274368,17.61678700361011,3.4902527075812277,9.096209386281588,3.6537906137184115,3.3699973334216384,47.18815411777214,False
New Brunswick,2010,51.7,4.0,5801.0,4.0,True,83.3,2062.59,663.79,739.73,457.67,1078.65,195.63,196.79,,367.26,,5762.12,209.05,5971.17,20.3,estimated,753034,0.41,71248.5,44.7,46.8,22.8,30,70,10.57,115.49651837524178,0.4084274026081398,546.0159816247583,39.89535783365571,14.308123791102513,20.863636363636363,3.806382978723404,8.852417794970986,3.7839458413926494,3.2956690229887946,46.93083600031485,False
New Brunswick,2011,53.8,4.0,6371.0,4.0,True,81.2,2083.67,677.21,779.98,481.51,1095.34,218.86,210.81,,379.2,,5926.59,247.58,6174.17,20.8,estimated,755590,0.34,71248.5,44.7,46.8,22.8,30,70,10.6,114.76152416356878,0.40799588738928616,546.7509758364313,38.729925650557625,14.497769516728626,20.359479553903345,3.9184014869888477,8.950000000000001,4.068029739776952,3.4143860632279317,46.381133010590894,False
New Brunswick,2012,42.8,5.0,7194.0,5.0,False,78.4,2108.8,689.99,808.03,497.02,1102.67,223.43,220.25,,482.31,,6132.51,172.49,6305.0,21.2,estimated,758121,0.33,71248.5,44.7,46.8,22.8,30,70,10.64,147.31308411214954,0.4074236762069692,514.1994158878505,49.27102803738318,18.879205607476635,25.76331775700935,5.146028037383178,11.612616822429906,5.220327102803739,3.493259318001586,46.26217287866773,False
New Brunswick,2013,33.9,10.0,8597.0,10.0,False,79.6,2124.59,700.3,796.75,498.52,1032.94,227.92,200.2,,526.58,,6107.79,130.26,6238.05,21.7,estimated,758261,0.02,71248.5,44.7,46.8,22.8,30,70,10.64,184.0132743362832,0.4074236762069692,477.49922566371686,62.67227138643069,23.502949852507374,30.47020648967552,5.905604719764011,14.705604719764011,6.723303834808259,3.209336250911743,46.8309808353572,False
New Brunswick,2014,51.4,10.0,8609.0,10.0,False,75.8,2107.13,767.15,800.22,518.62,1049.14,230.65,192.89,,535.72,,6201.52,155.92,6357.44,22.1,estimated,758657,0.05,71248.5,44.7,46.8,22.8,30,70,10.65,123.68560311284047,0.4072811807101104,537.8268968871596,40.99474708171206,15.568482490272375,20.41128404669261,3.7527237354085603,10.08988326848249,4.487354085603113,3.034082901293602,45.731457945336494,False
